World Cude Oil Production(million barrels per day),US Energy Consumption (quadrillion BTUs per year),US Nuclear Electricity (billion kilowatt- hours),US Coal Gas production (million short-tons),US Total Dry Gas Production(trillion cubic feet),US Fuel Rate for Automobiles(miles per gallon)
55.7,74.3,83.5,598.6,21.7,13.4
55.7,72.5,114,610,20.7,13.6
52.8,70.5,172.5,654.6,19.2,14
57.3,74.4,191.1,684.9,19.1,13.8
59.7,76.3,250.9,697.2,19.2,14.1
60.2,78.1,276.4,670.2,19.1,14.3
62.7,78.9,255.2,781.1,19.7,14.6
59.6,76,251.1,829.7,19.4,16
56.1,74,272.7,823.8,19.2,16.5
53.5,70.8,282.8,838.1,17.8,16.9
53.3,70.5,293.7,782.1,16.1,17.1
54.5,74.1,327.6,895.9,17.5,17.4
54,74,383.7,883.6,16.5,17.5
56.2,74.3,414,890.3,16.1,17.4
56.7,76.9,455.3,918.8,16.6,18
58.7,80.2,527,950.3,17.1,18.8
59.9,81.4,529.4,980.7,17.3,19
60.6,81.3,576.9,1029.1,17.8,20.3
60.2,81.1,612.6,996,17.7,21.2
60.2,82.2,618.8,997.5,17.8,21
60.2,83.9,610.3,945.4,18.1,20.6
61,85.6,640.4,1033.5,18.8,20.8
62.3,87.2,673.4,1033,18.6,21.1
64.1,90,674.7,1063.9,18.8,21.2
66.3,90.6,628.6,1089.9,18.9,21.5
67,89.7,666.8,1109.8,18.9,21.6
